listing_id,name,neighborhood,current_price,recommended_price,price_change,pct_change,accommodates,bedrooms,number_of_reviews
23376196,Modern Townhouse Apartment in Brooklyn,Bedford-Stuyvesant,145.0,142.48,-2.52,-1.74,3,1.0,155
42504616,The Lux Lex • Vibe 8635,Upper East Side,161.0,135.68,-25.32,-15.73,2,0.0,24
42925669,Amazing UES 1 Bed w/ Laundry and Doorman #6132,Upper East Side,190.0,167.07,-22.93,-12.07,3,1.0,6
1028210591958989521,Crown Heights BK Apt 2bdrm 4fl Train,Crown Heights,229.0,305.83,76.83,33.55,4,2.0,64
728898265855426177,Cozy Contemporary 2 Bedroom Apartment,Crown Heights,247.0,210.0,-37.0,-14.98,3,1.0,43
53752252,Lovely 1-bedroom in Brooklyn,Williamsburg,197.0,179.99,-17.01,-8.63,2,1.0,8
859664945143080328,Zen in City,Bushwick,164.0,183.9,19.9,12.14,2,1.0,138
41108306,Stylish 1-Bedroom Apt w/ Large Office in Bushwick,Bushwick,115.0,138.85,23.85,20.74,3,1.0,12
53623779,Cozy and private studio at UES.,Upper East Side,160.0,180.39,20.39,12.75,2,1.0,25
43928714,UES Studio next to Mount Sinai & Cornell Hospitals,Upper East Side,114.0,106.46,-7.54,-6.61,3,0.0,7
54262883,Elegant Upper East Side 2 Bedroom Apartment,Upper East Side,192.0,247.19,55.19,28.75,4,2.0,15
1029145949717644011,Penthouse Waterfront Studio with Top Skyline Views,Williamsburg,185.0,183.0,-2.0,-1.08,2,1.0,7
9324841,Large artist one bedroom in Williamsburg!,Williamsburg,305.0,174.16,-130.84,-42.9,2,1.0,10
550845920087869266,Lovely 1Bd Apartment in the Heart of Brooklyn,Crown Heights,90.0,157.78,67.78,75.31,1,1.0,10
1065123350709282894,Hot Bushwick Location – Art Studio w/ Roof Terrace,Bushwick,159.0,273.73,114.73,72.16,2,1.0,138
48942624,★ NEWLY RENOVATED STUDIO IN PRIME LOCATION - UES ★,Upper East Side,174.0,179.25,5.25,3.02,3,0.0,24
38437629,The Garden Apartment - Private 2-bedroom in BKLYN,Bedford-Stuyvesant,206.0,176.36,-29.64,-14.39,5,2.0,115
53756457,Lovely 1 bedroom space in Brooklyn,Bedford-Stuyvesant,150.0,140.1,-9.9,-6.6,2,1.0,46
13642568,Lux & Spacious Apt - Prime Williamsburg,Williamsburg,203.0,165.9,-37.1,-18.28,2,0.0,31
36804299,Brooklyn artist loft - bright & spacious!,Bedford-Stuyvesant,500.0,305.8,-194.2,-38.84,5,2.0,25
1131804,Immaculate 2BR luxury townhouse 15mins to Midtown,Harlem,143.0,186.79,43.79,30.62,3,2.0,29
49016783,Lovely 2-bedroom NYC rental unit with bathtub,Bedford-Stuyvesant,210.0,186.94,-23.06,-10.98,5,2.0,9
12542544,Near Times Square,Hell's Kitchen,126.0,229.5,103.5,82.14,4,1.0,238
5944801,Brownstone Duplex Harlem/Columbia U,Harlem,308.0,274.84,-33.16,-10.77,6,2.0,68
727832613571928027,"Gorgeous Bed-Stuy duplex, 3bd + roof deck garden",Bedford-Stuyvesant,200.0,371.85,171.85,85.92,8,3.0,94
6424961,"Skylighted Floor, All Yours, 23 Mins to Manhattan",Bedford-Stuyvesant,101.0,163.39,62.39,61.77,2,2.0,12
53949650,Gorgeous 1-bedroom in Bushwick,Bushwick,110.0,144.26,34.26,31.15,2,1.0,23
973926823669823710,HAR-RTE Garden Apartment,Astoria,221.0,174.14,-46.86,-21.2,4,1.0,11
51283129,Large Sunny Artist Loft with Balcony,Bedford-Stuyvesant,315.0,220.22,-94.78,-30.09,3,1.0,20
11940117,1BR Bright & Spacious in West Harlem,Harlem,148.0,173.72,25.72,17.38,4,1.0,62
5362041,Columbia U/Harlem Townhouse Duplex,Harlem,215.0,262.87,47.87,22.26,5,2.0,122
52826514,Colorful Industrial Loft in Bed Stuy (30+ Days),Bedford-Stuyvesant,225.0,192.29,-32.71,-14.54,2,1.0,25
847276083866577520,Sleeps 7|Close to LGA|Times Sq in 25 min,Harlem,358.0,352.14,-5.86,-1.64,7,3.0,81
771790426347751108,2 bedroom apt in brownstone with office,Crown Heights,112.0,168.56,56.56,50.5,4,2.0,38
8322478,Designers brownstone in Bed-Stuy,Bedford-Stuyvesant,155.0,131.45,-23.55,-15.2,3,2.0,334
898904640609152150,Colorful Bushwick Two Bedroom,Bushwick,108.0,171.77,63.77,59.04,5,2.0,35
30236202,BEST Bushwick Lower Level Apt 15 mins to Manhattan,Bushwick,69.0,143.8,74.8,108.4,5,2.0,148
37798666,ThomBoy Retreats/Feels like home! Close to all!,Crown Heights,85.0,122.2,37.2,43.77,2,1.0,5
1102934542095541409,Cozy apartment in heart of residential Astoria,Astoria,150.0,195.2,45.2,30.13,4,1.0,65
30104723,Cozy apt with washer dryer  in trendy Williamsburg,Williamsburg,171.0,190.46,19.46,11.38,2,1.0,34
3987599,"Great 3 Bdrm- Internships, Students",Bushwick,93.0,154.23,61.23,65.84,5,3.0,25
729567707956628031,"Newly renovated, cozy Bedstuy apt with backyard",Bedford-Stuyvesant,175.0,157.69,-17.31,-9.89,2,1.0,8
1617443,Great Artistic Studio in Historic Building,Harlem,65.0,108.25,43.25,66.54,2,1.0,37
6921831,Home Sweet Harlem,Harlem,198.0,158.09,-39.91,-20.16,4,1.0,17
52756284,Chic 1 Bedroom in Bed Stuy,Bedford-Stuyvesant,92.0,121.81,29.81,32.41,2,1.0,62
3760029,Charming studio for rent in Astoria,Astoria,150.0,176.97,26.97,17.98,2,1.0,165
862664998185425084,NYC City view 3Bedroom 5 beds king bed NYC ferry,Astoria,206.0,351.85,145.85,70.8,6,3.0,18
4614838,"2 Bedroom, 1 Bath Hell's Kitchen",Hell's Kitchen,272.0,197.7,-74.3,-27.32,6,2.0,5
24206044,1 bed-Convent Ave.  Near CCNY Sleeps 4,Harlem,225.0,129.38,-95.62,-42.5,4,1.0,26
6005868,"Sunny, Spacious & Sweet 2BD home!",Williamsburg,170.0,245.43,75.43,44.37,5,2.0,46
46449888,3 BED 2 BATH Pre-War Williamsburg Brooklyn APT,Williamsburg,250.0,314.59,64.59,25.84,5,3.0,6
578592072056483887,*PRIME Bedford Ave * Peaceful & Chic +private yard,Williamsburg,237.0,313.0,76.0,32.07,2,1.0,7
1103754701199991999,2bedroom in Hell's Kitchen,Hell's Kitchen,628.0,393.36,-234.64,-37.36,5,2.0,60
21383288,Cozy & Modern Brooklyn Getaway,Crown Heights,99.0,135.74,36.74,37.12,2,1.0,49
40376349,Renovated flat in the Heart of Williamsburg BK!,Williamsburg,191.0,252.2,61.2,32.04,2,2.0,203
940156629413345648,Spotless Oasis| Balcony|Broadway Show|Times Square,Hell's Kitchen,365.0,456.5,91.5,25.07,4,1.0,59
7202368,Chic Studio Apartment in Bed Stuy,Bedford-Stuyvesant,126.0,116.15,-9.85,-7.82,2,1.0,240
47472308,Comfy private parlor apartment,Bedford-Stuyvesant,68.0,154.72,86.72,127.53,3,1.0,43
49702148,"4bdr 1 bath apartment, Hudson Yards, 63F",Hell's Kitchen,1000.0,666.07,-333.93,-33.39,6,4.0,52
766992440128844738,"Bright, Airy , Luxe Hideaway”w” (Private) Backyard",Bedford-Stuyvesant,253.0,161.12,-91.88,-36.32,2,1.0,51
719593216551653075,Brodie's Place,Bedford-Stuyvesant,190.0,169.19,-20.81,-10.95,4,1.0,15
1145649837286129108,Very Private Guest Suite in Williamsburg Townhome,Williamsburg,390.0,400.92,10.92,2.8,5,2.0,42
613606685400763792,Bright & Spacious 3-Bedroom in Vibrant Bushwick!,Bushwick,145.0,139.81,-5.19,-3.58,4,3.0,18
1071097470129706565,Bed-Stuy Penthouse: Private Roof & Skyline View,Bedford-Stuyvesant,198.0,269.78,71.78,36.25,3,2.0,7
17857431,Pacific by Rove Travel | Duplex w/Deck & Backyard,Crown Heights,764.0,395.46,-368.54,-48.24,4,2.0,20
52977888,Amazing Studio Doorman Washer Dryer Elevator (27),Hell's Kitchen,124.0,146.95,22.95,18.51,2,0.0,10
16409634,*BRAND NEW*4 BED DUPLX W PVT BCKYARD 15 MIN 2 CITY,Bedford-Stuyvesant,259.0,358.52,99.52,38.42,10,4.0,53
1147037716231719858,Guest Suite in Brooklyn Townhouse,Crown Heights,112.0,206.45,94.45,84.33,2,1.0,69
850338,Authentic Luxury Designed Loft,Williamsburg,160.0,204.02,44.02,27.51,6,1.0,275
1090713696580310351,Brooklyn Crown Heights: Cozy Private Home,Crown Heights,511.0,478.31,-32.69,-6.4,8,4.0,38
26043558,Serene Garden floor-through apartment,Bedford-Stuyvesant,277.0,244.38,-32.62,-11.78,2,1.0,61
46791082,Times Square Studio near Restaurants & Shopping,Hell's Kitchen,260.0,406.38,146.38,56.3,2,0.0,262
656061093200134683,Lovely Williamsburg apartment with amazing terrace,Williamsburg,152.0,222.91,70.91,46.65,2,1.0,21
1250872395822100404,Comfy Clean 2BR 1BA Home- 15 mins to Times Square!,Astoria,270.0,291.78,21.78,8.07,4,2.0,6
25458237,Bed+bath+kitchen+garden+own entry. JUST RENOVATED!,Crown Heights,200.0,167.61,-32.39,-16.2,2,1.0,33
960170192680619491,NYC Spacious Studio Legal Daily Rental,Harlem,252.0,250.9,-1.1,-0.44,2,1.0,18
53606895,WARM ARTIST APARTMENT in the heart of Williamsburg,Williamsburg,388.0,259.88,-128.12,-33.02,5,2.0,6
8327773,"Gorgeous Brooklyn Brownstone Flat, Great Location!",Bedford-Stuyvesant,219.0,242.9,23.9,10.91,2,1.0,421
749276,2 Bdrm Great Bushwick apartment #1,Bushwick,175.0,187.07,12.07,6.89,6,2.0,124
